time,x,y,pressure,tilt_x,tilt_y
1607469156426325,12469,4879,0,0,2400
1607469156428170,12470,4879,0,0,2400
1607469156430007,12470,4878,0,0,2400
1607469156431853,12470,4876,0,0,2400
1607469156433708,12470,4874,0,0,2400
1607469156435552,12471,4872,0,0,2400
1607469156437398,12471,4869,0,0,2400
1607469156439255,12472,4866,0,0,2400
1607469156441099,12472,4859,0,0,2400
1607469156442938,12473,4856,0,0,2400
1607469156444782,12473,4854,0,0,2400
1607469156446636,12473,4851,0,0,2400
1607469156448484,12474,4849,0,0,2400
1607469156450330,12474,4847,0,0,2400
1607469156452183,12474,4845,0,0,2400
1607469156454023,12474,4843,0,0,2400
1607469156455873,12474,4841,0,0,2400
1607469156457729,12474,4840,0,0,2400
1607469156459574,12474,4838,0,0,2400
1607469156461428,12474,4837,0,0,2400
1607469156463280,12474,4836,0,0,2400
1607469156465120,12474,4835,0,0,2400
1607469156466963,12474,4835,0,0,2400
1607469156468807,12474,4834,0,0,2400
1607469156470661,12474,4833,0,0,2400
1607469156472505,12474,4833,0,0,2400
1607469156474354,12474,4832,0,0,2400
1607469156476204,12474,4832,0,0,2400
1607469156478047,12473,4832,0,0,2400
1607469156479897,12473,4831,0,0,2400
1607469156485438,12472,4830,0,0,2400
1607469156489135,12472,4830,0,0,2400
1607469156490991,12472,4829,0,0,2400
1607469156492844,12471,4829,0,0,2400
1607469156494688,12471,4828,0,0,2400
1607469156498373,12471,4827,0,0,2400
1607469156502075,12470,4826,0,0,2400
1607469156505769,12470,4825,0,0,2400
1607469156507624,12470,4824,0,0,2400
1607469156509471,12469,4824,0,0,2400
1607469156513163,12469,4823,0,0,2400
1607469156516859,12469,4822,0,0,2400
1607469156520564,12470,4822,0,0,2400
1607469156524255,12471,4822,0,0,2400
1607469156527949,12472,4822,0,0,2400
1607469156531644,12473,4822,0,0,2400
1607469156533495,12474,4822,0,0,2400
1607469156535346,12474,4823,0,0,2400
1607469156537191,12475,4823,0,0,2400
1607469156539041,12476,4824,0,0,2400
1607469156540898,12477,4824,0,0,2400
1607469156542743,12478,4825,0,0,2400
1607469156544589,12480,4825,0,0,2400
1607469156546436,12481,4826,0,0,2400
1607469156548288,12482,4827,0,0,2400
1607469156550136,12484,4828,0,0,2400
1607469156551975,12485,4829,0,0,2400
1607469156553825,12486,4830,0,0,2400
1607469156555674,12488,4830,0,0,2400
1607469156557520,12491,4832,0,0,2400
1607469156559369,12493,4834,0,0,2400
1607469156561225,12495,4835,0,0,2400
1607469156563070,12497,4837,0,0,2400
1607469156564916,12499,4838,0,0,2400
1607469156566761,12501,4839,0,0,2400
1607469156568603,12502,4840,0,0,2400
1607469156570454,12503,4841,0,0,2400
1607469156572296,12505,4842,0,0,2400
1607469156574145,12506,4842,0,0,2400
1607469156577836,12507,4843,0,0,2400
1607469156579690,12508,4843,0,0,2400
1607469156581547,12508,4843,0,0,2400
1607469156583394,12509,4843,0,0,2400
1607469156585245,12509,4842,0,0,2400
1607469156588935,12508,4841,0,0,2400
1607469156592627,12508,4840,0,0,2400
1607469156594479,12507,4839,0,0,2400
1607469156596327,12507,4838,0,0,2400
1607469156598177,12506,4837,0,0,2400
1607469156600023,12505,4836,0,0,2400
1607469156601879,12505,4835,0,0,2400
1607469156603723,12504,4834,0,0,2400
1607469156605568,12503,4833,0,0,2400
1607469156607416,12503,4831,0,0,2400
1607469156609265,12502,4830,0,0,2400
1607469156611110,12502,4829,0,0,2400
1607469156612956,12501,4828,0,0,2400
1607469156614806,12501,4827,0,0,2400
1607469156616655,12501,4826,0,0,2400
1607469156618503,12501,4825,0,0,2400
1607469156620355,12501,4824,0,0,2400
1607469156624047,12501,4823,0,0,2400
1607469156625898,12501,4822,0,0,2400
1607469156627746,12502,4822,0,0,2400
1607469156629598,12502,4821,0,0,2400
1607469156631441,12503,4821,0,0,2400
1607469156633290,12504,4820,0,0,2400
1607469156636978,12505,4820,0,0,2400
1607469156638831,12506,4820,0,0,2400
1607469156640687,12507,4820,0,0,2400
1607469156642534,12508,4820,0,0,2400
1607469156644378,12510,4820,0,0,2400
1607469156646226,12511,4820,0,0,2400
1607469156648073,12513,4820,0,0,2400
1607469156649921,12514,4821,0,0,2400
1607469156651766,12516,4822,0,0,2400
1607469156653613,12518,4822,0,0,2400
1607469156655461,12519,4823,0,0,2400
1607469156657309,12521,4824,0,0,2400
1607469156659157,12523,4825,0,0,2400
1607469156661012,12525,4826,0,0,2400
1607469156662857,12527,4827,0,0,2400
1607469156664706,12528,4828,0,0,2400
1607469156666556,12530,4829,0,0,2400
1607469156668405,12532,4830,0,0,2400
1607469156670253,12534,4832,0,0,2400
1607469156672100,12535,4833,0,0,2400
1607469156673945,12537,4834,0,0,2400
1607469156675792,12538,4835,0,0,2400
1607469156677639,12540,4836,0,0,2400
1607469156679490,12541,4837,0,0,2400
1607469156681343,12543,4838,0,0,2400
1607469156683190,12544,4839,0,0,2400
1607469156685040,12545,4840,0,0,2400
1607469156686882,12546,4841,0,0,2400
1607469156688727,12547,4842,0,0,2400
1607469156690580,12548,4843,0,0,2400
1607469156692422,12548,4844,0,0,2400
1607469156694269,12549,4845,0,0,2400
1607469156696116,12550,4846,0,0,2400
1607469156699806,12551,4847,0,0,2400
1607469156701666,12551,4848,0,0,2400
1607469156703513,12552,4848,0,0,2400
1607469156705363,12552,4849,0,0,2400
1607469156709055,12552,4850,0,0,2400
1607469156712745,12552,4851,0,0,2400
1607469156718291,12551,4852,0,0,2400
1607469156721988,12550,4852,0,0,2400
1607469156727534,12549,4852,0,0,2400
1607469156729385,12549,4853,0,0,2400
1607469156733073,12548,4853,0,0,2400
1607469156738616,12547,4853,0,0,2400
1607469156740475,12547,4854,0,0,2400
1607469156744162,12547,4854,0,0,2400
1607469156746021,12546,4855,0,0,2400
1607469156749711,12546,4855,0,0,2400
1607469156751561,12546,4856,0,0,2400
1607469156753409,12545,4856,0,0,2400
1607469156757098,12545,4857,0,0,2400
1607469156760805,12545,4858,0,0,2400
1607469156762655,12544,4858,0,0,2400
1607469156766347,12544,4859,0,0,2400
1607469156773730,12544,4860,0,0,2400
1607469156777423,12545,4860,0,0,2400
1607469156779278,12545,4861,0,0,2400
1607469156784821,12545,4862,0,0,2400
1607469156790377,12546,4862,0,0,2400
1607469156792220,12546,4863,0,0,2400
1607469156794067,12546,4863,0,0,2400
1607469156801455,12546,4863,0,0,2400
1607469156803309,12545,4863,0,0,2400
1607469156807000,12545,4863,0,0,2400
1607469156808852,12545,4863,0,0,2400
1607469156818082,12544,4863,0,0,2600
1607469156823629,12544,4863,0,0,2600
1607469156825484,12543,4863,0,0,2600
1607469156831018,12542,4863,0,0,2600
1607469156834715,12541,4863,0,0,2600
1607469156838412,12541,4863,0,0,2600
1607469156840267,12540,4863,0,0,2600
1607469156842116,12540,4863,0,0,2600
1607469156843965,12540,4864,0,0,2600
1607469156847654,12539,4864,0,0,2600
1607469156851347,12539,4864,0,0,2600
1607469156855045,12539,4865,0,0,2600
1607469156858741,12539,4865,0,0,2600
1607469156862441,12539,4866,0,0,2600
1607469156864291,12540,4866,0,0,2600
1607469156866143,12540,4867,0,0,2600
1607469156869832,12541,4868,0,0,2600
1607469156873523,12542,4869,0,0,2600
1607469156875377,12543,4870,0,0,2600
1607469156877224,12544,4871,0,0,2600
1607469156879072,12544,4872,0,0,2600
1607469156880925,12545,4873,0,0,2600
1607469156882773,12546,4874,0,0,2600
1607469156884618,12547,4875,0,0,2600
1607469156886469,12548,4876,0,0,2600
1607469156888317,12549,4877,0,0,2600
1607469156890174,12550,4878,0,0,2600
1607469156892008,12551,4879,0,0,2600
1607469156893856,12553,4880,0,0,2600
1607469156895704,12554,4881,0,0,2600
1607469156897552,12555,4882,0,0,2600
1607469156899400,12556,4884,0,0,2600
1607469156901251,12557,4885,0,0,2600
1607469156903102,12558,4886,0,0,2600
1607469156906792,12559,4887,0,0,2600
1607469156908647,12560,4888,0,0,2600
1607469156910497,12560,4889,0,0,2600
1607469156912335,12561,4890,0,0,2600
1607469156916027,12562,4891,0,0,2600
1607469156917882,12562,4891,0,0,2600
1607469156919725,12563,4892,0,0,2600
1607469156921578,12563,4893,0,0,2600
1607469156923424,12564,4893,0,0,2600
1607469156932656,12564,4892,0,0,2600
1607469156934511,12564,4892,0,0,2600
1607469156936359,12564,4892,0,0,2600
1607469156938203,12565,4892,0,0,2600
1607469156940077,12565,4891,0,0,2600
1607469156945595,12566,4891,0,0,2600
1607469156951136,12567,4891,0,0,2600
1607469156954833,12568,4891,0,0,2600
1607469156956688,12569,4891,0,0,2600
1607469156958536,12570,4891,0,0,2600
1607469156960389,12571,4892,0,0,2600
