time,x,y,pressure,tilt_x,tilt_y
1607469162824760,12307,4717,0,4294967196,2700
1607469162826607,12308,4717,0,4294967196,2700
1607469162828458,12308,4717,0,4294967196,2700
1607469162830307,12309,4718,0,4294967196,2700
1607469162833999,12308,4719,0,4294967196,2700
1607469162835858,12309,4719,0,4294967196,2700
1607469162837703,12308,4720,0,4294967196,2700
1607469162841392,12308,4721,0,4294967196,2700
1607469162843248,12307,4721,0,4294967196,2700
1607469162845095,12306,4722,0,4294967196,2700
1607469162846942,12305,4722,0,4294967196,2700
1607469162848789,12304,4723,0,4294967196,2700
1607469162850640,12302,4723,0,4294967196,2700
1607469162852493,12300,4723,0,4294967196,2700
1607469162854340,12298,4724,0,4294967196,2700
1607469162856185,12297,4724,0,4294967196,2700
1607469162858055,12295,4725,0,4294967196,2700
1607469162859880,12292,4725,0,4294967196,2700
1607469162861721,12290,4726,0,4294967196,2700
1607469162863573,12288,4726,0,4294967196,2700
1607469162865418,12287,4727,0,4294967196,2700
1607469162867267,12288,4728,0,4294967196,2700
1607469162869115,12288,4729,0,4294967196,2700
1607469162870967,12292,4730,0,4294967196,2700
1607469162872813,12296,4731,0,4294967196,2700
1607469162874664,12298,4732,0,4294967196,2700
1607469162876508,12301,4733,0,4294967196,2700
1607469162878358,12299,4735,0,4294967196,2700
1607469162880213,12298,4736,0,4294967196,2700
1607469162882049,12299,4738,0,4294967196,2700
1607469162883895,12301,4740,0,4294967196,2700
1607469162885746,12302,4742,0,4294967196,2700
1607469162887594,12304,4744,0,4294967196,2700
1607469162889443,12304,4746,0,4294967196,2700
1607469162891294,12305,4747,0,4294967196,2700
1607469162893141,12306,4749,0,4294967196,2700
1607469162894987,12307,4750,0,4294967196,2700
1607469162896886,12315,4753,0,4294967196,2700
1607469162898684,12316,4753,1857,4294967196,2700
1607469162900583,12317,4751,2085,4294967196,2700
1607469162902371,12319,4749,2252,4294967196,2700
1607469162904225,12320,4748,2356,4294967196,2800
1607469162906068,12318,4747,2485,4294967196,2800
1607469162907917,12320,4746,2665,4294967196,2800
1607469162909760,12325,4742,2843,4294967196,2800
1607469162911615,12327,4738,2987,4294967196,2800
1607469162913466,12329,4735,3101,4294967196,2800
1607469162915312,12331,4732,3186,4294967196,2800
1607469162917156,12340,4729,3248,4294967196,2800
1607469162919005,12340,4726,3297,4294967196,2800
1607469162920851,12335,4723,3338,4294967196,2800
1607469162922698,12340,4718,3375,4294967196,2800
1607469162924547,12342,4714,3420,4294967196,2800
1607469162926394,12344,4710,3468,4294967196,2800
1607469162928239,12345,4705,3507,4294967196,2800
1607469162930091,12347,4700,3543,4294967196,2800
1607469162931941,12349,4696,3577,4294967196,2800
1607469162933789,12350,4690,3602,4294967196,2800
1607469162935633,12351,4684,3627,4294967196,2800
1607469162937484,12352,4679,3652,4294967196,2800
1607469162939330,12352,4673,3676,4294967196,2800
1607469162941174,12343,4666,3695,4294967196,2800
1607469162943022,12344,4659,3718,4294967196,2800
1607469162944868,12354,4652,3744,4294967196,2800
1607469162946720,12354,4647,3760,4294967196,2800
1607469162948569,12354,4640,3774,4294967196,2800
1607469162950418,12354,4633,3788,4294967196,2800
1607469162952265,12356,4625,3803,4294967196,2800
1607469162954116,12353,4617,3817,4294967196,2800
1607469162955962,12349,4609,3832,4294967196,2800
1607469162957814,12349,4600,3846,4294967196,2800
1607469162959662,12346,4591,3862,4294967196,2800
1607469162961508,12343,4582,3873,4294967196,2800
1607469162963356,12339,4572,3884,4294967196,2800
1607469162965205,12341,4561,3890,4294967196,2800
1607469162967048,12336,4551,3893,4294967096,2800
1607469162968903,12326,4541,3901,4294967096,2800
1607469162970812,12320,4530,3905,4294967096,2800
1607469162972596,12315,4520,3907,4294967096,2800
1607469162974449,12311,4510,3910,4294967096,2800
1607469162976289,12302,4500,3915,4294967096,2800
1607469162978137,12292,4490,3924,4294967096,2800
1607469162979984,12287,4481,3924,4294967096,2800
1607469162981835,12281,4472,3920,4294967096,2800
1607469162983679,12272,4462,3919,4294967096,2800
1607469162985528,12264,4452,3921,4294967096,2800
1607469162987376,12256,4444,3925,4294967196,2800
1607469162989239,12241,4436,3925,4294967196,2800
1607469162991077,12232,4428,3924,4294967196,2800
1607469162992928,12228,4419,3924,4294967196,2800
1607469162994773,12217,4410,3925,4294967196,2800
1607469162996619,12206,4402,3927,4294967196,2800
1607469162998466,12195,4394,3928,4294967196,2800
1607469163000316,12192,4386,3930,4294967196,2800
1607469163002160,12181,4380,3929,4294967196,2800
1607469163004011,12163,4374,3928,4294967196,2800
1607469163005858,12151,4367,3931,4294967196,2800
1607469163007703,12140,4361,3932,4294967196,2800
1607469163009552,12129,4357,3932,4294967196,2800
1607469163011402,12115,4352,3933,4294967196,2800
1607469163013249,12104,4347,3933,4294967196,2800
1607469163015117,12094,4344,3935,4294967196,2800
1607469163016956,12083,4343,3937,4294967196,2800
1607469163018795,12076,4341,3938,4294967196,2800
1607469163020647,12069,4339,3940,4294967196,2800
1607469163022495,12059,4338,3937,4294967196,2800
1607469163024344,12033,4337,3934,4294967196,2800
1607469163026187,12024,4338,3934,4294967196,2800
1607469163028040,12031,4339,3933,4294967196,2800
1607469163029890,12022,4340,3930,4294967196,2800
1607469163031736,12014,4342,3929,4294967196,2800
1607469163033582,12006,4345,3929,4294967196,2800
1607469163035427,12003,4348,3930,4294967196,2800
1607469163037275,11995,4354,3922,4294967196,2800
1607469163039119,11983,4359,3911,4294967196,2800
1607469163040973,11976,4362,3908,4294967196,2800
1607469163042816,11969,4369,3908,4294967196,2800
1607469163044668,11962,4376,3907,4294967196,2800
1607469163046514,11958,4385,3906,4294967196,2800
1607469163048364,11952,4393,3909,4294967196,2800
1607469163050223,11943,4403,3909,4294967196,2800
1607469163052057,11936,4415,3902,4294967196,2800
1607469163053913,11930,4426,3897,4294967196,2800
1607469163055760,11924,4438,3895,4294967196,2800
1607469163057608,11919,4450,3892,4294967196,2800
1607469163059455,11912,4465,3895,4294967196,2800
1607469163061295,11907,4480,3896,4294967196,2800
1607469163063146,11905,4493,3892,4294967196,2800
1607469163064995,11901,4510,3889,4294967196,2800
1607469163066845,11898,4528,3890,4294967196,2800
1607469163068693,11894,4548,3892,4294967196,2800
1607469163070542,11885,4569,3888,4294967196,2800
1607469163072383,11884,4590,3888,4294967196,2800
1607469163074232,11888,4612,3892,4294967196,2800
1607469163076085,11887,4633,3889,4294967196,2800
1607469163077932,11886,4654,3887,4294967196,2800
1607469163079782,11885,4677,3887,4294967196,2800
1607469163081630,11892,4701,3887,4294967196,2800
1607469163083478,11893,4723,3886,4294967196,2800
1607469163085326,11886,4751,3888,4294967196,2800
1607469163087173,11886,4780,3886,4294967196,2800
1607469163089019,11888,4808,3886,4294967196,2800
1607469163090872,11890,4838,3889,4294967196,2800
1607469163092722,11893,4869,3890,4294967196,2800
1607469163094570,11896,4900,3885,4294967196,2800
1607469163096411,11899,4932,3882,4294967196,2800
1607469163098258,11903,4965,3884,4294967196,2800
1607469163100109,11908,4998,3874,4294967196,2800
1607469163101958,11914,5033,3865,4294967196,2800
1607469163103804,11920,5069,3865,4294967196,2800
1607469163105656,11905,5105,3869,4294967196,2800
1607469163107501,11911,5144,3871,4294967196,2800
1607469163109345,11938,5185,3868,4294967196,2800
1607469163111269,11947,5225,3866,4294967196,2800
1607469163113051,11953,5265,3864,4294967196,2800
1607469163114895,11961,5306,3866,4294967196,2800
1607469163116743,11972,5347,3867,4294967196,2800
1607469163118591,11976,5389,3883,4294967196,2800
1607469163120483,11981,5432,3885,4294967196,2800
1607469163122292,11992,5474,3871,4294967196,2800
1607469163124136,12000,5518,3873,4294967196,2800
1607469163125983,12008,5561,3874,4294967196,2800
1607469163127829,12014,5604,3867,4294967196,2800
1607469163129677,12030,5646,3862,4294967196,2800
1607469163131527,12036,5688,3867,4294967196,2800
